index,complaint,transaction_type,account_type_source,account_type_target,merchant,channel,direction
15,I am writing this to formally express my concerns regarding zellle handling of disputes,other,unknown,none,Zelle,Zelle,unknown
10,Mortgage in my name XXXX XXXX XXXX  a credit card opened in XX/XX/2023 I have not opened a credit card or any loan I. The past 9 years any thing open now is fraud not me,unknown,credit_card,loan,unknown,unknown,unknown
11,"I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.",payment,credit_card,credit_card,unknown,online,outgoing
18,Somebody opened up an account under my name with my bank and transferred my savings which came out to {$85000.00} onto their account,transfer,savings,unknown,unknown,unknown,outgoing
19,"I was checking my credit report, XX/XX/XXXX  and I realize I saw some accounts in or on my report that are in accurate and without my consent and still reporting...",unknown,credit_card,none,unknown,online,unknown
17,Received unsolicited credit card ready for activation in mail.,unknown,unknown,none,unknown,other,unknown
21,The company take XXXX hundred something for my account and the company close my account,fee,checking,none,unknown,unknown,outgoing
22,"This is wrong and whoever wrote that statement absolutely lied .... you have damage my credit and now you want to throw the rock and hide your hand .... 

Please answer what's in attachments",unknown,unknown,none,unknown,unknown,unknown
25,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.,unknown,unknown,none,unknown,unknown,unknown
24,I have state employees credit union reporting a charge off from XXXX and account closed. XXXX is continuing to report it as a late payment on my account even after sending me XXXX and charging it off.,chargeback,credit_card,none,state employees credit union,unknown,outgoing
27,The account is being reported as charge off and closed. I never received my copy of the 1099C to report the income. And have to inaccurate information removed. I also want to sue for damages from the fraud being committed.,chargeback,credit_card,none,unknown,unknown,unknown
23,"In summer XXXX  I sent {$90.00} over Zelle to an account that I thought was my friends. It was not, I was not given the Zelle warning prompt to verify that user and have not since gotten my money back.",transfer,checking,checking,unknown,Zelle,outgoing
26,CHECKING MY FILE IVE NOTICED ALOT OF INVALID DATA. THIS IS MY 2ND ATTEMPT I AM INTERESTED IN DISPUTING ALL INCORRECT INFROMATION SUBMITTED IN MY FILE. PLEASE REVIEW AN CORRECT INFORMATION LISTED ASAP.,unknown,checking,none,unknown,unknown,unknown
20,today on XX/XX/XXXX i tried to log in into robinhood to link my bank account but received a error messege. i would like to connect my bank account to robin hood. thank you,other,checking,brokerage,Robinhood,online,unknown
28,I was looking on my credit report and found out there was some inaccurate information regarding my Capital One credit card history for XXXX through XXXX of 2020. I sent them multiply letters regarding this issue but they still haven't removed this inaccurate information.,unknown,credit_card,none,Capital One,online,unknown
29,"I have reported this numerous times and as of XX/XX/XXXX still showing the XXXX XXXX credit card ending in XXXX still open, where it is closed with XXXX balance.",unknown,credit_card,none,unknown,unknown,unknown
32,"some of these purchases were made by an XXXX  spouse, i was in a XXXX XXXX relationship and now chase credit services is on my credit report and i want it off immediately.",purchase,credit_card,none,chase credit services,card_not_present,outgoing
33,"I am sending this request that the account which I believe appears to be inaccurate and incomplete be immediately investigated and corrected on my credit file. 
XXXX XXXX XXXXXXXX Balance : {$3000.00}",other,unknown,none,unknown,unknown,unknown
34,Wells Fargo incorrectly charged me overdraft fees as well as overcharged me fees on my account.,fee,checking,none,Wells Fargo,online,outgoing
30,Cash app was illegal giving my information away and didnt have a live representative available for any customer support.,unknown,unknown,none,Cash App,other,unknown
31,"Please see the attached documents. I request the bureau to begin an investigation into these accounts, which I have never been late in paying, but are incorrectly reported as such.",unknown,unknown,unknown,unknown,unknown,unknown
35,Ive received serval pre approved credit card offers and when Ive applied to them Ive been denied. This has happened several times.,other,unknown,none,unknown,online,unknown
37,I have contacted the collection company and XXXXXXXX XXXX XXXX I do not owe this debt and uploaded a letter from the supposedly creditor showing {$0.00} balance Unsure how a collection company says I owe something their original creditor notes I dont,other,unknown,none,unknown,unknown,unknown
36,Purchased an airline ticket with points. They told me about a change and provided the option to respond by email. which I did twice. I called them XX/XX/XXXX and ask to respond to me by email. they have not responded.,purchase,unknown,none,airline,other,outgoing
39,I tried to open a account there they won't take the restricted off from it and remove it there I called and won't even give me the fraud dept,other,other,none,unknown,online,unknown
38,Person claimed to have sent me funds but I had to send a deposit since XXXX had my funds on hold. I sent 2 payment but never received any payments for the xbox series x I am selling,deposit,unknown,unknown,unknown,unknown,outgoing
42,"Payment made via check # XXXX shown by bank as withdrawn on XX/XX/19 by XXXXXXXX XXXX. Account has NOT been credited yet and interest accrues daily. I emailed them and got back a "" sorry we did not receive it "" email.",payment,checking,none,XXXXXXXX XXXX,branch,outgoing
40,Wells Fargo closed my account without any explanation,unknown,checking,none,Wells Fargo,unknown,unknown
41,My Citi AAdvantage card was lost and fraudulent charges of XXXX USD were made. I reported the fraud to the credit card immediately and they have not issued a credit to my account for the charges,purchase,credit_card,none,unknown,card_not_present,outgoing
44,Please they keep charging me so much Bank of America,fee,checking,none,Bank of America,online,outgoing
43,XX/XX/2022. Someone transfer my money to another account without me knowing. They used the XXXX app through my bank. They took {$100.00} and {$2500.00} from my account.,transfer,checking,unknown,unknown,online,outgoing
46,"the bank made an error with my statements & they've agreed to remove it ... for this account, XXXX XXXX XXXX Date opened : XX/XX/2018 Balance : {$690.00}. Please remove the late dates and update the status to Open/Paying as aggreed.",fee,checking,none,bank,online,incoming
47,"I voluntarily returned the vehicle to credit Acceptance, yet it has been reported as a repossession. Additionally, I have discovered that after the vehicle was sold, the account was re-listed on my credit report with a higher balance than was previously reported.",debit,loan,none,Credit Acceptance,other,outgoing
45,"My payments are consistently on time, and I have no doubts about this. I ensure prompt payments and maintain accuracy in this. Please update my accounts to remove any late payment remarks from my credit report.",payment,credit_card,none,unknown,online,outgoing
49,Zelle said within minutes and it took hours the last time I was stranded and my mom sent me close to {$300.00}. It never helped. It came the next morning. This was in the beginning of XXXX,transfer,checking,checking,Zelle,Zelle,incoming
48,Since 2007 Experian XXXX  and XXXX  have fraudulently aggressively stolen my ID .I can not retrieve my Experian credit re po RS It does not let me dispute anything and it constantly has technical issues wants to charge me to view my info,other,unknown,none,Experian,online,outgoing
50,I'm a victim of identity theft I have been fighting this ongoing issue for over ten years now.I have filed paperwork stating accounts were opened fraudulently with chase with no resolve.,other,checking,none,Chase,online,unknown
51,I was told I was approved for a Chase XXXX business card over a week ago. I was told I would receive the card in 3-5 business days. Im being charged a substantial annual fee for a card that I dont have.,fee,credit_card,none,Chase,online,outgoing
52,"I have consistently made timely payments on this account, never missing a due date. I'm puzzled by the reports of late payment remarks on my accounts. According to 15 USC 1666b, billing errors should be corrected.",payment,credit_card,none,unknown,online,outgoing
54,I have had to constantly request the balance on my auto loan be updated and Ive been told high likelihood of getting a credit card approval and loan approval hen get denied taking points off my credit,unknown,loan,unknown,unknown,unknown,unknown
56,I have a detailed 6 page document describing how this Fraud took place. I was unaware of it until it was too late. I want to upload this document to CFPB 's Fraud investigation group.,unknown,unknown,unknown,CFPB,other,unknown
58,I've called XXXX times to try and establish a password and user name so that I can put money into the account but no one has been able to help.,deposit,unknown,unknown,none,online,incoming
57,My balance shows I have enough to make a purchase but the my card keeps declining,purchase,credit_card,unknown,unknown,card_not_present,outgoing
53,"Account that was reported, reported fraudulent incorrect information on my consumer report the balance and that it was late..",unknown,unknown,unknown,unknown,unknown,unknown
55,This item has been on there over 15yrs. The company went out of business yet I faxed over canceled check to collection agency years ago showing I paid the balance off. They continue to report,payment,checking,none,unknown,online,outgoing
59,The bank did not validate this debt based on the FCRA. I do not owe the alleged debt.,other,unknown,none,unknown,unknown,unknown
60,"I affirm that the inclusion of incorrectly reported late payment remarks on my accounts is a breach of the 15 USC 1666. Every payment linked to these accounts has been promptly made, and any departure from this precise reporting is unjust and unlawful.",payment,checking,credit_card,unknown,online,outgoing
61,"I initiated a transfer from my bank to Venmo, Venmo has it stated my funds would be available on XXXX and its now XXXX and my funds are not available and they will not release them for me.",transfer,checking,other,Venmo,Venmo,outgoing
62,"My venmo account was locked over a month ago, they refused to respond or do anything to help me withdrawal my funds. I have reached out multiple times. There is XXXX $ in there that I need access to.",other,other,none,Venmo,other,unknown
63,"Mortgage company won't release my unpaid funds This loan was paid off XX/XX/XXXX, and I still haven't received my escrow balance, as of XX/XX/XXXX. Amerihome Mortgage keeps saying the check is in the mail, and to just wait longer. No solutions, just wait longer.",refund,loan,checking,Amerihome Mortgage,other,incoming
65,I am interested in processing disputes on my credit report to delete an remove all inaccurate information with trasnunion. checking my file ive noticed alot of errors. this is hindering my credit report. review an remove the inaccurate information an delete all errors asap.,other,unknown,none,TransUnion,online,unknown
66,"Was advised that on the tenth business day provisional credit would be issued in my checking account in reference to a claim, fraudulent and unauthorized activity with my lost and or stolen debit card on XXXX/XXXX/2017. Credit has still not been issued. Claim ID XXXX",credit,checking,none,unknown,unknown,incoming
64,XXXX paid to through Paypal. Both vendors are in XXXX and advertised to be in the United States when products were being purchased. I did not receive what I purchased. Paypal has allowed this behavior. I am out of my money and the product.,purchase,unknown,unknown,Paypal,online,outgoing
67,on XX/XX/2023 i received a phone call from target wanting a conformation that I tried to open a credit card account which I did not. So they were going to cancel the application.,other,unknown,none,Target,online,unknown
69,SAM ; S ACCT HAS BEEN PAID DOWN TO {$200.00} BALANCE > STILL SHOWS {$910.00} THAT I OWE > PAID OVER MONTH AGO. ACCT XXXX XXXX,payment,checking,loan,SAM,online,outgoing
70,"The balance of the credit card was paid off by the wire transfer deposit but the credit company did n't honor the deposit and continued harassing, charging and reporting to the credit bureau as delinquent.",payment,checking,credit_card,credit company,wire,outgoing
68,I have an available balance of well over {$250.00} in my account and my car payment still was returned for a slightly lesser amount of {$200.00}. They need to undo this return payment and repay it because it was their error.,payment,checking,unknown,unknown,unknown,outgoing
71,Receiving multiple preapproved credit card applications for a person who doesn't live here,unknown,unknown,none,unknown,unknown,unknown
72,"I called credit karma months ago to dispute a fraud case. Someone took my card and made transactions that was not me. They closed my case without any detail and when I reopened they stop contacting me. 

XXXX XXXX XXXX XXXX XXXX",unknown,credit_card,unknown,credit karma,online,unknown
73,"Yesterday, Wednesday XX/XX/2020, I received a debit prepaid card from BRINKS MONEY that I did not apply for and had my name on it, after trying to call the company I got no answer and Im worried about scams or stolen identity",unknown,unknown,unknown,BRINKS MONEY,unknown,unknown
74,"XXXX payments didnt arrive immediately delayed, charged fees, failed to protect my funds.",payment,unknown,unknown,XXXX payments,online,outgoing
78,Had a fraudulent situation and they closed my account still after finding out I dont have anything to do with the situation and kept my remaining funds.,other,checking,none,unknown,unknown,unknown
77,I miss sent money to wrong person and when I tried get back they told me that it was out they control,transfer,unknown,unknown,unknown,unknown,outgoing
75,"SYNCB/TJMAXX, has charged off this account and I have not received a 1099 c.",chargeback,credit_card,none,TJMAXX,online,outgoing
76,I got a statement about XXXX savings accounts from Capital One that I did not request. This statement is XXXX pages long. I did not request these accounts to be opened. The period covers XX/XX/XXXX - XX/XX/2022. Me cell phone is XXXX XXXX XXXX,unknown,savings,none,Capital One,online,unknown
80,"Maintaining timely payments has been a consistent practice on this account, and I have never fallen behind. I'm uncertain about the reasons for the presence of late payment remarks on my accounts.",payment,credit_card,none,unknown,online,outgoing
81,Cash app closes account with no warming won't let me send or receive,other,cash,none,Cash App,other,unknown
79,"Collection account from XXXX XXXX XXXX with account # XXXX and a balance of {$1000.00}. 

Collection account from XXXX XXXX XXXX with account # XXXX and a balance of {$840.00}. 

Collection account from XXXX with account # XXXX and a balance of {$110.00}.",other,loan,none,XXXX XXXX XXXX,unknown,outgoing
83,I was informed that the rewards certificate i used to purchase an item could only be used once. although the rewards used to purchase that item was returned without a problem.,purchase,unknown,none,unknown,unknown,outgoing
82,I called Citi visa costco card to remove me as an authorized signer.I was told they needed to speak to the primary on the account.,other,credit_card,none,Citi Visa Costco Card,other,unknown
85,A checking account was opened in my name by TD-Bank . Checks and a notice of failure to pay certain funds was received by me a few days ago - the bank was notified on XXXX to discontinue all accounts in my name.,other,checking,none,TD-Bank,branch,unknown
84,"There is a FRAUDULENT ACCOUNT reporting on my credit report with a {$250.00} balance. THIS IS NOT MINE!!!! I have NEVER had a XXXX credit card with Synchrony Bank. I DEMAND this account be closed, reported as fraud, and removed from ALL XXXX credit bureaus.",other,credit_card,none,Synchrony Bank,unknown,unknown
87,checking over my credit report I realized a lot of information is invalid. I am interested in disputing all incorrect information from my credit report with Equifax to clear my file.,unknown,checking,none,Equifax,online,unknown
88,Checking my report today I noticed that it was some inaccurate items & accounts on my report I never opened or gave my consent to anyone to do so.,unknown,checking,none,unknown,unknown,unknown
89,I closed XXXX XXXX in XXXX of XXXX  and today trans union just dropped my credit score and put the balance back on the account I have provided information from trans union report showing it was closed and paid in full,unknown,credit_card,none,XXXX XXXX,unknown,unknown
86,This is a card I barely use but when I looked at my billing statements from previous months I've noticed chargers for purchases that I did not make.,purchase,credit_card,none,unknown,card_not_present,outgoing
90,Froze account and wont let me withdraw. Lied to consumers saying theyd operate normally. Also didnt disclose their malpractice with using fraud funds from XXXX. No updates in the system and keeping all my money in my crypto wallet.,unknown,unknown,unknown,unknown,unknown,unknown
91,CREDIT CARD WAS OPEN WITHOUT MY KNOWLEDGE,unknown,credit_card,unknown,unknown,unknown,unknown
92,"Money was taken out of my account, that I did not authorize",debit,unknown,unknown,unknown,unknown,outgoing
93,Some one named XXXX XXXX used my email address and social to open a new account with Truist. Probably trying to collect unemployment. This is the fourth different bank this perp has used to try and open with my name.,other,unknown,unknown,Truist,online,unknown
94,"As of XX/XX/2023, I have successfully paid off the account balance and received a deletion. At the time of this complaint this account is still showing on my credit report.",payment,credit_card,none,unknown,unknown,outgoing
95,"Leased Ended with XXXX XXXX XXXX in XX/XX/2021 with XXXX XXXX XXXX  in XXXX XXXX, LA. I paid all debts and received final invoice showing XXXX balance. I do not owe any further debts.",payment,unknown,unknown,XXXX XXXX XXXX,online,outgoing
96,I see multiple 30 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.,other,unknown,none,unknown,unknown,unknown
99,XX/XX/year> my account had been closed without my knowledge. my paycheck was coming and supposed to be deposited to that checking account. i was not the one who closed it. huntington told me a secondary user closed it. it was done without me ( primary card holder ) knowing.,deposit,checking,checking,huntington,unknown,incoming
97,Someone opened accounts in my name I was unaware of and also tryed to that I was unaware of XXXX in the amount of XXXX Inquiries : XX/XX/19 XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,other,unknown,unknown,XXXX,unknown,unknown
98,Multiple times I contacted the ChexSystems about errors showing on my consumer report with the accounts XXXX routing/checking XXXX and XXXX  routing/checking account XXXX. Companies wanted police reports attached to the complaint I have police case number XXXX reply available.,unknown,checking,unknown,ChexSystems,online,unknown
102,"Delete closed account from my report XXXX XXXX XXXX XXXX XXXX Balance Updated Last Payment Date Paid Off Monthly Payment Original Balance Terms Responsibility Your Statement : Auto Loan XX/XX/XXXX Closed Paid, Closed. 
XX/XX/XXXX XX/XX/XXXX {$30000.00} XXXX XXXX Individual",payment,loan,none,unknown,unknown,outgoing
106,"Was supposed to receive my direct deposit but never received it, with little to no explanation",deposit,unknown,checking,unknown,online,incoming
103,I my name name social security number and ate of birth to be removed off of XXXX and early warning,unknown,unknown,unknown,Early Warning,unknown,unknown
104,"My information was used to obtain a credit card that I didnt not file for. 

XXXX XXXX XX/XX/scrub> 2024 {$13000.00}",credit,credit_card,credit_card,unknown,unknown,incoming
109,My car got totalled. The loan was paid in full except {$1000.00} They closed the account XX/XX/2018. It shows as a chargeoff account however it still shows a balance of {$1200.00} and I am being reported late each month,payment,loan,none,unknown,unknown,outgoing
105,"I ensure my payments are always made on time. Yet, I'm baffled by the sporadic instances where this company reports late payments, contradicting my meticulous record-keeping. USC 1666b mandates swift correction of billing errors and accurate payment documentation.",payment,checking,credit_card,this company,online,outgoing
108,i had some lost my wallet with everything in it i had called the bank to report identity theft the bank still want it me to pay for the fraudulent transactions.,unknown,checking,none,unknown,unknown,unknown
107,Im being blocked by site to external apps to application of thing I 'm applying for and I want it fixed,unknown,unknown,none,unknown,online,unknown
101,The account has a fraudulent charge of {$21000.00} that I have raised to Wells several times now but they refuse to assist me in reversing the charge and closing out the account.,debit,checking,none,Wells,unknown,outgoing
100,The date of the first delinquency that you have does not match the date that I have. Under 15 USC 1681e b you must provide maximum possible accuracy. Im requesting full disclosure of the XXXX of my profile,unknown,unknown,unknown,unknown,unknown,unknown
110,Lost my debit card Also need to make @ least 2 internal transfers and been on the phone over 30 min & no closer to anything being accomplished Pretty sure I even missed a call from the police while they were XXXX around,other,checking,checking,unknown,unknown,unknown
111,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous.",payment,credit_card,none,none,online,outgoing
115,Paid all of the property taxes for the 2023. Asked for a refund of the money in the escrow account intended for tax payments. Didn't get a refund or my monthly mortgage payments adjusted.,payment,checking,unknown,property taxes,online,outgoing
112,I talked to someone in XXXX of 2023 and we talked about the credit card. They told me it would be a one time payment. They sold to a third party company now Im Paying again for debt.,payment,credit_card,unknown,unknown,online,outgoing
114,XXXX XXXX has stolen my XXXX check out of my wells fargo account for 3 months now and due to this I'm now XXXX,other,checking,none,XXXX XXXX,other,outgoing
113,"on XX/XX/XXXX. 2021 at XXXX i proceeded to transfer my currency ( XXXX  ) XXXX from Binance to Binance.US exchange in the sum of XXXX. 
the token left my wallet but never got transferred to the exchange Binance.US.",transfer,unknown,unknown,Binance,online,unknown
119,"There has been a major delay in direct deposit processing. Capital One emailed at XXXX on XX/XX/XXXX saying the issue would be resolved by the morning on XX/XX/XXXX, however, I woke up to no direct deposit and no update from Capital One. Those is a widespread issue.",deposit,checking,none,Capital One,online,incoming
116,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.,unknown,unknown,none,unknown,unknown,unknown
118,a company ENHANCED RECOVERY CO L is reporting a Balance {$1900.00} I have NO CONTRACT with this company and or services,other,unknown,none,ENHANCED RECOVERY CO L,unknown,unknown
117,"Bank of America has taken at least over {$100.00} from my account within the past month. And have been eating my whole paycheck, causing my bank account to be always negative.",fee,checking,none,Bank of America,other,outgoing
120,"I have 2 HELOC with Wells Fargo and have been paying more than minimum for approx. 15 years, yet my balance remains unchanged",payment,loan,loan,Wells Fargo,online,outgoing
121,"I found out the creditor didn't give the required 21-day notice with a statement. This would've let me pay on time and avoid late fees. This error made it seem like I didn't pay when I should have, which is the creditor 's mistake.",payment,unknown,unknown,creditor,online,outgoing
123,Received a Wells Fargo credit card I did not apply for.,unknown,unknown,unknown,Wells Fargo,unknown,unknown
122,They are not allowing access by external applications such as XXXX XXXX so I can get a rebate,refund,unknown,unknown,XXXX XXXX,online,incoming
125,"Both two students loans have been paid in full {$14000.00}. On XXXX XXXX XXXX

The creditor ED FINANCIAL HAS RECEIVED PAYMENT. THIS ACCOUNT HAS BEEN PAID IN FULL!!! PLEASE UPDATE MY BALANCE AND DELETE INCORRECT INFORMATION FROM MY CREDIT FILE",payment,checking,loan,ED FINANCIAL,online,outgoing
124,"I need your assistance in reviewing accounts from companies that are incorrectly reporting late payments. After checking my credit report, I found that certain accounts have late payment marks that should not be there. These accounts should not show any late payment remarks.",other,unknown,none,unknown,unknown,unknown
126,As far as I know the issue is happening because I deposited a check that was fake which I didnt know was a fake check as someone was trying to scam me.,deposit,unknown,checking,unknown,mobile_check,incoming
127,CFPB-XXXX Just an anonymous text about a money transfer with a link that the text sent as well,transfer,unknown,unknown,anonymous text,online,unknown
129,"I am writing to formally express my concern regarding Zelle handling disputes, particularly in light of recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my Zelle failed to investigate and claim adequatetly. They informed me.",other,unknown,none,Zelle,Zelle,unknown
128,"I've learned that the creditor didn't provide the necessary 21-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor.",payment,credit_card,credit_card,unknown,unknown,outgoing
130,It's ridiculous because I have always paid this account on time and have never been late. Please update my account accordingly.,payment,credit_card,none,unknown,online,outgoing
131,On my credit report the bank /XXXX/ send me a Charge off. Midland Funding LLC has the same In collection!!!!! How is possible this???,chargeback,credit_card,none,Midland Funding LLC,unknown,outgoing
133,Experian have been putting potential negativity on my credit report ... Dispute the information and still no action... Then promoting no impact on credit card that match and if denied no impact on your credit score and that's a lie..,unknown,unknown,none,Experian,online,unknown
134,I let the companies know that I didnt approve or send any thing out of my account. They sent me a message stating they will get back to me but that was it.,other,unknown,none,unknown,unknown,outgoing
137,No agent on stand by lots of trouble with transactions,unknown,unknown,unknown,unknown,unknown,unknown
136,There are over {$5000.00} in fraudulent charges to this account.My brother has been XXXX  since XXXX I have provided proof so there is no way he could have made these charges My original claim # is XXXX I dont feel this case was resolved,debit,credit_card,none,unknown,unknown,outgoing
138,This company is attempting to collect a debt that has been sold off and XXXX balance.,payment,unknown,unknown,unknown,unknown,outgoing
132,I applied to AMEX on XX/XX/21 and they denied my application within 30 seconds and set me a letter to my email of the denial.,other,unknown,none,AMEX,online,unknown
135,A credit card was opened without my knowledge and I never knew until I looked at my credit report.,unknown,credit_card,none,unknown,unknown,unknown
139,I contacted USAA several times about charges that have dated back to XX/XX/XXXX. They recently mailed new cards to the wrong address and those cards were used.,purchase,credit_card,none,unknown,card_not_present,outgoing
140,Lexington law said they could get my credit good but didnt but charge me,fee,unknown,unknown,Lexington Law,unknown,outgoing
142,"Debit my account later proved the amount was giving to me by the magistrate, bank keep denying of receiving the claim! 
They closed my checking account and saying due to suspicious online activities like hackers!",debit,checking,unknown,unknown,online,outgoing
145,The current issue is causing me significant distress and is having a negative impact on my sleep. It is challenging for me to accept this situation. I implore you to take immediate action to update my account.,unknown,unknown,unknown,unknown,unknown,unknown
146,The account was deleted by Equifax And XXXX because is from 2006 And more the 7 years has passed but the creditor reinstalled them with a different balance. But it is the same account .XXXX XXXX XXXX XXXX XXXX XXXX,unknown,unknown,unknown,Equifax,unknown,unknown
144,Received email w link to fraudulent Chase bank website stating my account was locked and info needed to be verified : https : XXXX? XXXX & XXXX This is not the Chase bank website,other,checking,none,Chase,online,unknown
147,My pay pal account got hacked and opened up 4 more different credit accounts and my tax refund.,credit,unknown,credit_card,PayPal,online,incoming
141,Cash app never has a live agent when money is taken from my account I always have to wait days to hear back from them via email and they never help me,debit,checking,unknown,Cash App,CashApp,outgoing
143,I was told that I would receive the promotional offer but still waiting,other,unknown,none,unknown,unknown,unknown
148,"received an email about me opening an account at Truist Bank, I tried calling to report the fraud, I have sent emails and no one has responded. 
Now I got a letter saying I requested overdraft protection. I did not open this account.",unknown,unknown,none,Truist Bank,unknown,unknown
150,"Wells fargo opened XXXX way to save accounts without my consent or knowledge. 
XXXX",unknown,unknown,savings,Wells Fargo,online,unknown
149,"I sent {$100.00} to XXXX on XX/XX/2021. Because the person could not collect, Western Union told me to cancel the transaction for a refund. I cancelled but never got a refund. 
XXXX XXXX XXXX XXXX.",transfer,unknown,unknown,Western Union,other,outgoing
151,"Misleading information with XXXX  XXXX, Experian and XXXX XXXX XXXX  credit balance is incorrect utilization rate s incorrect a 5 year medical bill, late payment correction, XXXX XXXX XXXX XXXX payment is adjusted and current",unknown,credit_card,unknown,Experian,unknown,unknown
152,The following Capital One XXXX Rewards Card ending in : XXXX is a fraudulent account. I never applied for the credit card account. The account is fraudulent and not my account.,unknown,credit_card,none,Capital One,unknown,unknown
156,"I am writing to dispute these fraudulent charges on my account. I am a victim of identity theft, and I did not make this charge. I request that you remove the fraudulent charge and any related finance charges from my account.",unknown,unknown,none,unknown,unknown,incoming
154,"Bank refunded one transaction from XXXX

But still get charged monthly for a cancelled account.",refund,unknown,unknown,XXXX,unknown,incoming
158,XXXX XXXX CREDIT CARD OPENED NOT BY ME ANDE NOW IT IS DELIQUIANT FOR XXXX AND I AM DISPUTING IT WITH XXXX  XXXX AND EQUAFAX CREDIT MONITORING ALONG WITH MANY OTHER SUSPISIOUS ACTICTITY REGARDING MORGAGES WITH MY INFORMATION I NEVER OPENED ALSO NEVER IN MY LIFE HAVE I EITHER.,other,credit_card,unknown,unknown,unknown,unknown
157,"They refused to process the application but they still ran my credit. I want both inquiries removed asap. 
XXXX XXXX XXXX XX/XX/2022 XXXX XXXX XX/XX/2022 2022",other,unknown,none,unknown,unknown,unknown
155,"Hello, I reviewed A copy of my credit report and it shows a direct violation of the FDCPA if a charge off or collection account is reported with a balance. This account shows a balance of XXXX as of XX/XX/2021 2021",chargeback,credit_card,none,unknown,online,unknown
153,I'm moving to XXXX for employment and they offer HSA through Optum Bank. Both XXXX and Optum Bank say the other party should be providing me with a full and complete schedule of fees.,unknown,unknown,unknown,Optum Bank,unknown,unknown
160,I was defrauded by a third party for three amounts of {$89.00} and not refunded by this bank after repeated attempts to explain what happened. My treatment at the hands of the bank was appalling.,other,unknown,none,unknown,unknown,outgoing
159,My balance was paid in full On XX/XX/2021. My confirmation number is XXXX. I paid a total of {$1200.00} which was a 20 % discount for paying in full. I have contacted Medicredit with no help. I have also disputed this with you guys with no help.,payment,checking,none,Medicredit,online,outgoing
161,I was denied credit and found USAA Bank Fraudulent account on my credit reports.,unknown,unknown,none,USAA Bank,unknown,unknown
